NAME,CATEGORY,LINK,TAG
Geraumt,Podcast,https://www.geraumt.com/,Design
Parola Progetto,Podcast,https://www.parolaprogetto.com/,Design
Type Radio,Podcast,https://www.typeradio.org/,Type Design
Caffè Design,Podcast,https://www.caffe.design/,Design
Design Matters,Podcast,https://designmattersmedia.com/,Design
99% Invisible,Podcast,https://99percentinvisible.org/,Design
Clever,Podcast,https://www.cleverpodcast.com/,Design
Scratching the Surface,Podcast,https://scratchingthesurface.fm/,Design
On Design with Justyna Green,Podcast,https://open.spotify.com/show/60HAAWngh9DclfBWJFaslc,Design
99u,Platform / Magazine,https://99u.adobe.com/,
Are.na,Archive / Library,https://www.are.na,Inspiration
Art of the Menu,Platform / Magazine,https://www.underconsideration.com/artofthemenu/,
Behance,Platform / Magazine,https://www.behance.net/,
The Brand Identity,Platform / Magazine,https://the-brandidentity.com/,Graphic Design
BP&O,Platform / Magazine,https://bpando.org/,
Designspiration,Platform / Magazine,https://www.designspiration.com/,Inspiration
The Dieline,Platform / Magazine,https://thedieline.com/,
Dose of Design,Platform / Magazine,https://doseofdesign.me/,Inspiration
Dribbble,Platform / Magazine,https://dribbble.com/,
Informational Affairs,Platform / Magazine,https://informationalaffairs.com/,
Mindsparkle Mag,Platform / Magazine,https://mindsparklemag.com/,Inspiration
Muzli,Platform / Magazine,https://muz.li/,Inspiration
Pinterest,Platform / Magazine,https://www.pinterest.com/,
Packaging of the World,Archive / Library,https://packagingoftheworld.com/,
Trend List,Platform / Magazine,https://trendlist.org/,Inspiration
Purveyors of Packaging,Platform / Magazine,https://www.purveyorsofpackaging.com/,Packaging
Visual Journal,Archive / Library,https://visualjournal.it/,Graphic Design
Under Consideration,Platform / Magazine,https://www.underconsideration.com/,Branding
Visuelle,Platform / Magazine,https://visuelle.co.uk/,
Awwwards,Platform / Magazine,https://www.awwwards.com/,
Bestfolios,Platform / Magazine,https://www.bestfolios.com/,
Best Website Gallery,Archive / Library,https://bestwebsite.gallery/,
Brutalist Websites,Archive / Library,https://brutalistwebsites.com/,Web Design
Design Made in Germany,Platform / Magazine,https://www.designmadeingermany.de/,
CSS Dsgn,Archive / Library,https://cssdsgn.com/,Web Design
The FWA,Platform / Magazine,https://thefwa.com/,
The Gallery,Archive / Library,https://thegallery.io/,Web Design
Godly,Platform / Magazine,https://godly.website/,
Hallo Internet,Platform / Magazine,https://hallo-internet.de/,Web Design
Hover States,Platform / Magazine,https://hoverstat.es/,
HTTPster,Platform / Magazine,https://httpster.net/,Web Design
Land-Book,Archive / Library,https://land-book.com/,Web Design
Klikkentheke,Archive / Library,https://klikkentheke.com/,
LOADMORE,Archive / Library,https://loadmo.re/,Web Design
One Page Love,Archive / Library,https://onepagelove.com/,Web Design
MaxiBestOf,Archive / Library,https://maxibestof.one/,Web Design
Minimal Gallery,Archive / Library,https://minimal.gallery/,
The Responsive,Archive / Library,https://the-responsive.com/,
Site Inspire,Archive / Library,https://www.siteinspire.com/,Web Design
Siiimple,Archive / Library,https://siiimple.com/,Web Design
Typewolf,Archive / Library,https://www.typewolf.com/,
Site See,Archive / Library,https://sitesee.co/,Web Design
Wow Web,Platform / Magazine,https://wowweb.work/,Web Design
Empty States,Archive / Library,https://emptystat.es/,UI/UX
Call to Idea,Archive / Library,https://calltoidea.com/,UI/UX
GoodUI,Resource / Learning,https://goodui.org/,UI/UX
Mobbin,Archive / Library,https://mobbin.com/,UI/UX
Little Big Details,Archive / Library,https://littlebigdetails.com/,UI/UX
Pattern Index,Archive / Library,https://patternindex.com/,UI/UX
Pttrns,Archive / Library,https://pttrns.com/,UI/UX
Screenlane,Archive / Library,https://screenlane.com/,UI/UX
UI Garage,Archive / Library,https://uigarage.net/,UI/UX
ecomm.design,Archive / Library,https://ecomm.design/,
1-800-D2C,Platform / Magazine,https://www.1800d2c.com/,
CPGD,Platform / Magazine,https://cpgd.co/,
Archizines,Archive / Library,https://archizines.com/,Editorial Design
A Better Source,Platform / Magazine,https://abettersource.com/,Inspiration
The Pudding,Platform / Magazine,https://pudding.cool/,Data Visualization
CARI,Resource / Learning,https://cari.institute/,Design Research
Email Love,Archive / Library,https://emaillove.com/,
Really Good Emails,Archive / Library,https://reallygoodemails.com/,
Startup Decks,Archive / Library,https://startupdecks.co/,Pitch Design
Waste Not,Platform / Magazine,https://wastenot.world/,
Creative Exercises for Creative Teams,Resource / Learning,https://ideo.to/creativeexercises,Creativity
Design Principles,Resource / Learning,https://principles.design/,
Design Kit,Resource / Learning,https://www.designkit.org/,
Dropbox Design,Resource / Learning,https://dropbox.design/,Design Systems
Figma Learn Design,Resource / Learning,https://help.figma.com/hc/en-us/categories/4405631361687-Learn-Design,UI/UX
Baymard Institute,Resource / Learning,https://baymard.com/,UX Research
Laws of UX,Resource / Learning,https://lawsofux.com/,UX
UX Collective,Platform / Magazine,https://uxdesign.cc/,
UX Planet,Platform / Magazine,https://uxplanet.org/,
Booooooom,Platform / Magazine,https://www.booooooom.com/,Creativity
UX Trends,Platform / Magazine,https://uxtrends.design/,UX
AIGA Eye on Design,Platform / Magazine,https://eyeondesign.aiga.org/,Graphic Design
Co.Design,Platform / Magazine,https://www.fastcompany.com/co-design,Design
The Creative Independent,Platform / Magazine,https://thecreativeindependent.com/,Creativity
IGNANT,Platform / Magazine,https://ignant.com/,
It’s Nice That,Platform / Magazine,https://www.itsnicethat.com/,
Lovers Magazine,Platform / Magazine,https://loversmagazine.com/,Design
Intern Mag,Platform / Magazine,https://intern-mag.com/,Creativity
The Mockup Club,Tools,https://themockup.club/,Mockups
We Present,Platform / Magazine,https://wepresent.wetransfer.com/,Creativity
Graphic Burger,Tools,https://graphicburger.com/,Mockups
Original Mockups,Tools,https://originalmockups.com/,Mockups
Pixeden,,https://pixeden.com/,Mockups
Mockups Design,,https://mockups-design.com/,Mockups
Craftwork,Tools,https://craftwork.design/,
Real Thread,Tools,https://realthread.com/,Mockups
Pixel Buddha,,https://pixelbuddha.net/,Mockups
UI Goodies,Tools,https://uigoodies.com/,UI/UX
UI Faces,Tools,https://uifaces.co/,UI/UX
UpLabs,Tools,https://www.uplabs.com/,UI/UX
Snazzy Maps,Tools,https://snazzymaps.com/,Maps
Free Vector Maps,Tools,https://freevectormaps.com/,Vectors
Texture Fabrik,Tools,https://texturefabrik.com/,Textures
Canva,Tools,https://www.canva.com/,Graphic Design
Projector,Tools,https://projector.com/,Presentation Design
Blob Maker,Tools,https://blobmaker.app/,Web Design
Riso Print Simulator,Tools,https://risoprintsimulator.com/,Graphic Design
Mockuuups Studio,Tools,https://mockuuups.studio/,Mockups
Wireframe.cc,Tools,https://wireframe.cc/,UI/UX
Favicon Maker,Tools,https://realfavicongenerator.net/,Web Design
Framer,Tools,https://www.framer.com/,UI/UX
Marvel,Tools,https://marvelapp.com/,UI/UX
Invision,Tools,https://www.invisionapp.com/,UI/UX
Barcode Generator,Tools,https://barcode.tec-it.com/,Miscellaneous
Threed,Tools,https://threed.io/,Mockups
Rotato,Tools,https://rotato.app/,Mockups
Stoodioos Shop,Tools,https://shop.stoodioos.com/,Mockups
The Index,Archive / Library,https://theindex.website/,Index
Type Foundry Directory,Archive / Library,https://typefoundry.directory/,Index
Showcase Mockup Studio,Archive / Library,https://www.showcasebh.com/,Mockups
Supply Family,Archive / Library,https://supply.family/,Mockups
Underscore,Podcast,https://open.spotify.com/show/5EKVRVpfVvM0pHhtApK52F,Graphic Design
Format Mockups,Archive / Library,https://www.formatmockups.com/,Mockups
Font Struct,Tools,https://fontstruct.com/,
Creative Boom,Platform / Magazine,https://www.creativeboom.com/,Inspiration
Type Cooker,Tools,https://typecooker.com/,Type Design